"Study Instance UID", "0020000D", "UNIQUE", "UNIQUE"
"Study ID", "00200010", "S,*,U", "S,*,U"
"Study Date", "00080020", "S,*,U,R", "S,*,U,R"
"Study Time", "00080030", "S,*,U,R", "S,*,U,R"
"Study Description", "00081030", "S,*,U", "S,*,U"
"Accession Number", "00080050", "S,*,U", "S,*,U"
"Issuer of Accession Number", "00080051", "", ""
"Referring Physician's Name", "00080090", "S,*,U", "S,*,U"
"Institution Name", "00080080", "S,*,U", ""
"Station Name", "00081010", "S,*,U", ""
"Body Part Examined", "00180015", "S,*,U", ""
"SOP Classes in Study", "00080062", "S,*,U", ""
"Institutional Department Name", "00081040", "S,*,U", ""
"Series Description", "0008103E", "S,*,U", ""
"Sending Application Entity Title of Series", "", "S,*,U", ""
"Patient Name", "00100010", "S,*,U", ""
"Patient ID", "00100020", "S,*,U", ""
"Issuer of Patient ID", "00100021", "UNIQUE", ""
"Modality", "00080061", "S,*,U", ""
"Failed SOP Instance UID List", "00080058", "L", ""
"Procedure Code Sequence", "00081032", "", "NONE"
"Patient Age", "00101010", "", "NONE"
"Patient Size", "00101020", "", "NONE"
"Patient Size Code Sequence", "00101021", "", "NONE"
"Patient Weight", "00101030", "", "NONE"
"Occupation", "00102180", "", "NONE"
"Additional Patient History", "001021B0", "", "NONE"
"Patient Sex Neutered", "00102203", "", "NONE"
"Physicians of Record", "00081048", "", "NONE"
"Specific Character Set", "00080005", "", "NONE"
"Retrieve URL", "00081190", "", "NONE"
"Retrieve AE Title", "00080054", "", "NONE"
"Instance Availability", "00080056", "", "NONE"
"Number of Study Related Series", "00201206", "", "NONE"
"Number of Study Related Instances", "00201208", "", "NONE"
